Country,Year,Ministry Or Department,Additional Info,Pay  (UOM:INR(IndianRupees)),Dearness Allowance (UOM:INR(IndianRupees)),House Rent Allowance (UOM:INR(IndianRupees)),Compensatory City Allowance (Cca) (UOM:INR(IndianRupees)),Overtime Allowance (Ota) (UOM:INR(IndianRupees)),Others (UOM:INR(IndianRupees)),Travel Allowances (UOM:INR(IndianRupees)),Bonus (UOM:INR(IndianRupees)),Honorarium (UOM:INR(IndianRupees)),Encashment Of Earned Leave(El) (UOM:INR(IndianRupees)),Transport (UOM:INR(IndianRupees))
India,"Financial Year (Apr - Mar), 2020",FINANCIAL SERVICES,,90.34,15.71,11.54,,0,4.08,1.08,0.56,0,0.15,5.33
India,"Financial Year (Apr - Mar), 2020",AGRICULTURE AND COOPERATION,,216.48,36.58,30.11,,0.02,15.5,11.45,0.95,0.35,5.92,16.08
India,"Financial Year (Apr - Mar), 2003",PUBLIC ENTERPRISES,,107.23,62.9,9.8,1.45,2.47,8.52,3.25,0.03,0,0,1.5
India,"Financial Year (Apr - Mar), 2013","ANIMAL HUSBANDRY , DAIRYING AND FISHERIES",,54.08,46.75,6.47,,1.4,6.42,4.03,0.89,0.32,5.21,7
India,"Financial Year (Apr - Mar), 2019",TRIBAL AFFAIRS,,14.12,2.12,1.69,,0,1.25,2.54,0.12,0.37,0.93,1.23
India,"Financial Year (Apr - Mar), 2014",CULTURE,,113.12,115.38,17.19,,1.39,13.04,13.34,1.86,0.1,7.47,16.96
India,"Financial Year (Apr - Mar), 2015",WOMEN AND CHILD DEVELOPMENT,,10.7,12.63,1.78,,0.01,1.1,0.9,0.13,0.02,0.76,1.83
India,"Financial Year (Apr - Mar), 2021",CORPORATE AFFAIRS,,93.2,23.89,14.3,,0,8.54,8.33,0.47,0.14,3.01,6.97
India,"Financial Year (Apr - Mar), 2006",CHEMICALS AND PETROCHEMICALS,,4.17,1.15,0.7,0.09,0.09,0.26,1.23,0.04,0.1,0.16,0.1
India,"Financial Year (Apr - Mar), 2020",PLANNING ( NITI AYOG ),,39.89,6.7,4.93,,0,2.93,1.88,0.16,0.17,0.26,2.84
India,"Financial Year (Apr - Mar), 2002",PARLIAMENTARY AFFAIRS,,97.88,50.63,16.95,3.38,5.69,3.11,67.28,2.65,1.9,9.02,3.28
India,"Financial Year (Apr - Mar), 2018","CHEMICALS , PETROCHEMICALS AND PHARMACEUTICALS",,13.12,1.43,1.94,,0,0.61,0.83,0.1,0.05,0.13,0.94
India,"Financial Year (Apr - Mar), 2009",FERTILIZERS,,8.6,1.63,0.97,,0.06,0.6,0.67,0.07,0.08,0.19,0.85
India,"Financial Year (Apr - Mar), 2005",CONSUMER AFFAIRS,,11.51,2.39,1.41,0.28,0.32,0.68,0.59,0.18,0.11,0.27,0.15
India,"Financial Year (Apr - Mar), 2020",VICE PRESIDENT'S SECRETARIAT,,2.88,0.51,0.16,,0,0.22,0,0.03,0,0,0.29
India,"Financial Year (Apr - Mar), 2019",DEVELOPMENT OF NE REGION,,17.02,2.53,1.56,,0,2.01,1.12,0.15,0.04,1.3,0.87
